Time,RightACC,RightEMGext
0.0,2.47331,-3.92465
0.001,3.69401,-2.68705
0.002,3.69401,-1.95444
0.003,3.69401,-3.41965
0.004,3.69401,-3.41965
0.005,3.69401,0.243358
0.006,3.69401,-0.489243
0.007,3.69401,4.13396
0.008,3.69401,3.40136
0.009,2.47331,-3.92465
0.01,2.47331,-0.489243
0.011,2.47331,3.90636
0.012,2.47331,3.90636
0.013,2.47331,1.70856
0.014,2.47331,0.975958
0.015,2.47331,2.44116
0.016,2.47331,3.17376
0.017,2.47331,0.243358
0.018,2.47331,2.44116
0.019,2.47331,1.70856
0.02,2.47331,8.52956
0.021,2.47331,26.112
0.022,2.47331,4.86656
0.023,2.47331,1.70856
0.024,1.2526,3.17376
0.025,1.2526,1.70856
0.026,1.2526,-1.72685
0.027,1.2526,6.33176
0.028,1.2526,7.79696
0.029,1.2526,-0.261648
0.03,0.031901,-0.994249
0.031,0.031901,-1.72685
0.032,0.031901,-0.994249
0.033,0.031901,1.20355
0.034,0.031901,1.20355
0.035,0.031901,1.93615
0.036,0.031901,0.470953
0.037,0.031901,-1.95444
0.038,0.031901,-0.489243
0.039,0.031901,-3.41965
0.04,0.031901,-0.994249
0.041,0.031901,-1.22184
0.042,0.031901,3.17376
0.043,0.031901,-0.994249
0.044,0.031901,-0.994249
0.045,0.031901,-1.95444
0.046,-1.1888,-3.41965
0.047,-1.1888,-0.994249
0.048,-1.1888,-3.19205
0.049,-1.1888,-3.41965
0.05,-1.1888,-3.92465
0.051,-1.1888,-3.92465
0.052,-1.1888,-3.92465
0.053,-1.1888,10.4998
0.054,-1.1888,3.90636
0.055,-1.1888,2.66876
0.056,-1.1888,2.66876
0.057,-1.1888,-1.72685
0.058,-1.1888,-0.994249
0.059,-1.1888,-3.19205
0.06,-1.1888,-1.22184
0.061,-1.1888,-3.19205
0.062,-1.1888,-3.19205
0.063,-1.1888,-2.68705
0.064,-2.40951,-0.489243
0.065,-2.40951,0.975958
0.066,-2.40951,2.44116
0.067,-2.40951,2.44116
0.068,-2.40951,2.44116
0.069,-2.40951,-3.92465
0.07,-2.40951,1.20355
0.071,-2.40951,9.26216
0.072,-2.40951,9.26216
0.073,-2.40951,-2.68705
0.074,-2.40951,-1.95444
0.075,-2.40951,-0.994249
0.076,-1.1888,0.470953
0.077,-1.1888,-1.22184
0.078,-1.1888,-3.41965
0.079,-1.1888,-3.92465
0.08,-1.1888,-1.22184
0.081,-1.1888,-2.45945
0.082,-1.1888,-2.45945
0.083,-1.1888,-3.41965
0.084,-1.1888,-1.22184
0.085,-1.1888,1.70856
0.086,-1.1888,0.243358
0.087,-1.1888,-3.19205
0.088,-1.1888,-3.41965
0.089,-2.40951,6.83676
0.09,-2.40951,9.76717
0.091,-2.40951,12.6976
0.092,-2.40951,7.56937
0.093,-2.40951,-1.72685
0.094,-2.40951,4.86656
0.095,-2.40951,12.9252
0.096,-2.40951,12.9252
0.097,-2.40951,3.40136
0.098,-2.40951,1.20355
0.099,-2.40951,-0.489243
0.1,-2.40951,0.243358
0.101,-2.40951,3.17376
0.102,-2.40951,3.90636
0.103,-2.40951,-1.95444
0.104,-2.40951,-3.19205
0.105,-2.40951,0.470953
0.106,-2.40951,0.470953
0.107,-2.40951,-3.41965
0.108,-2.40951,-3.41965
0.109,-2.40951,-3.19205
0.11,-2.40951,-3.19205
0.111,-2.40951,9.03457
0.112,-2.40951,17.8258
0.113,-2.40951,-1.22184
0.114,-2.40951,1.20355
0.115,-2.40951,9.76717
0.116,-2.40951,10.4998
0.117,-2.40951,-0.261648
0.118,-2.40951,-3.92465
0.119,-2.40951,6.83676
0.12,-2.40951,0.975958
0.121,-2.40951,12.1926
0.122,-2.40951,2.66876
0.123,-1.1888,6.10416
0.124,-1.1888,9.76717
0.125,-1.1888,12.6976
0.126,-1.1888,8.30197
0.127,-1.1888,2.44116
0.128,-1.1888,9.99476
0.129,-1.1888,29.775
0.13,-1.1888,27.5772
0.131,-1.1888,9.03457
0.132,0.031901,14.8954
0.133,0.031901,-3.41965
0.134,0.031901,-3.19205
0.135,0.031901,0.470953
0.136,0.031901,12.9252
0.137,0.031901,0.470953
0.138,0.031901,-1.72685
0.139,0.031901,-3.19205
0.14,0.031901,1.70856
0.141,0.031901,11.2324
0.142,0.031901,9.03457
0.143,1.2526,-0.489243
0.144,1.2526,-3.19205
0.145,1.2526,1.20355
0.146,1.2526,9.26216
0.147,1.2526,16.5882
0.148,1.2526,6.33176
0.149,1.2526,0.243358
0.15,1.2526,2.44116
0.151,1.2526,3.90636
0.152,1.2526,3.90636
0.153,2.47331,5.37156
0.154,2.47331,6.10416
0.155,2.47331,-0.489243
0.156,2.47331,1.93615
0.157,2.47331,11.46
0.158,2.47331,9.26216
0.159,2.47331,0.470953
0.16,2.47331,1.20355
0.161,2.47331,-0.994249
0.162,2.47331,-2.45945
0.163,2.47331,-3.92465
0.164,2.47331,-2.68705
0.165,2.47331,-3.19205
0.166,2.47331,-0.994249
0.167,2.47331,-3.92465
0.168,2.47331,-3.41965
0.169,3.69401,-3.41965
0.17,3.69401,-3.41965
0.171,3.69401,-3.92465
0.172,3.69401,-2.45945
0.173,3.69401,-0.261648
0.174,3.69401,0.470953
0.175,3.69401,-2.45945
0.176,3.69401,-2.45945
0.177,3.69401,-3.92465
0.178,3.69401,-2.68705
0.179,3.69401,-3.19205
0.18,3.69401,-3.19205
0.181,3.69401,-1.95444
0.182,3.69401,-1.95444
0.183,3.69401,-3.41965
0.184,3.69401,-3.19205
0.185,3.69401,-3.41965
0.186,3.69401,-1.95444
0.187,3.69401,-3.41965
0.188,3.69401,-3.41965
0.189,4.91471,-3.92465
0.19,4.91471,-0.994249
0.191,4.91471,-3.19205
0.192,4.91471,-1.22184
0.193,4.91471,2.44116
0.194,4.91471,2.44116
0.195,3.69401,-3.19205
0.196,3.69401,0.470953
0.197,3.69401,-3.19205
0.198,3.69401,5.37156
0.199,3.69401,17.8258
0.2,3.69401,17.8258
0.201,3.69401,-0.994249
0.202,3.69401,-3.19205
0.203,3.69401,-1.95444
0.204,3.69401,-3.41965
0.205,3.69401,6.33176
0.206,3.69401,1.20355
0.207,3.69401,-2.45945
0.208,3.69401,-3.19205
0.209,3.69401,-3.19205
0.21,3.69401,-3.19205
0.211,2.47331,-3.92465
0.212,2.47331,-3.41965
0.213,2.47331,-3.41965
0.214,2.47331,-1.22184
0.215,2.47331,0.243358
0.216,2.47331,0.243358
0.217,2.47331,-1.22184
0.218,2.47331,-1.95444
0.219,2.47331,-3.41965
0.22,2.47331,-3.41965
0.221,2.47331,-3.92465
0.222,2.47331,-3.92465
